ρ	Permutation_Entropy	Pattern_Probabilities
28.24	0.9558576561213082	0.01306532663316583,0.06834170854271357,0.08040201005025126,0.09246231155778895,0.08341708542713568,0.022110552763819097,0.09547738693467336,0.05829145728643216,0.06834170854271357,0.10452261306532663,0.02512562814070352,0.061306532663316586,0.08944723618090453,0.06331658291457286,0.05829145728643216,0.016080402010050253
28.24	0.9473029941881559	0.009045226130653266,0.06633165829145729,0.06432160804020101,0.10050251256281408,0.06934673366834171,0.018090452261306532,0.10050251256281408,0.06834170854271357,0.06733668341708543,0.09748743718592964,0.023115577889447236,0.06834170854271357,0.09547738693467336,0.07336683417085427,0.06834170854271357,0.010050251256281407
28.24	0.9552653490228484	0.011055276381909548,0.06532663316582915,0.06633165829145729,0.09547738693467336,0.07738693467336684,0.023115577889447236,0.10653266331658291,0.05728643216080402,0.06532663316582915,0.0964824120603015,0.033165829145728645,0.06934673366834171,0.08442211055276382,0.07939698492462312,0.05728643216080402,0.012060301507537688
28.24	0.9440973265177857	0.007035175879396985,0.061306532663316586,0.05628140703517588,0.1035175879396985,0.06331658291457286,0.020100502512562814,0.12060301507537688,0.05728643216080402,0.061306532663316586,0.09849246231155778,0.027135678391959798,0.07537688442211055,0.09547738693467336,0.08241206030150754,0.05728643216080402,0.01306532663316583
28.24	0.9575135160630747	0.01407035175879397,0.061306532663316586,0.08040201005025126,0.08743718592964825,0.07738693467336684,0.032160804020100506,0.09949748743718594,0.05728643216080402,0.061306532663316586,0.10552763819095477,0.02914572864321608,0.07035175879396985,0.08944723618090453,0.06733668341708543,0.05728643216080402,0.010050251256281407
28.24	0.957714990422117	0.012060301507537688,0.06934673366834171,0.0763819095477387,0.09246231155778895,0.0763819095477387,0.03015075376884422,0.09949748743718594,0.05628140703517588,0.06934673366834171,0.09949748743718594,0.03015075376884422,0.06331658291457286,0.09246231155778895,0.06432160804020101,0.05628140703517588,0.012060301507537688
28.24	0.9465551259928503	0.016080402010050253,0.05728643216080402,0.07738693467336684,0.09748743718592964,0.06934673366834171,0.03015075376884422,0.11055276381909548,0.053266331658291456,0.05728643216080402,0.11658291457286432,0.022110552763819097,0.06733668341708543,0.10452261306532663,0.0592964824120603,0.053266331658291456,0.008040201005025126
28.24	0.9534147817120346	0.017085427135678392,0.06532663316582915,0.06030150753768844,0.09748743718592964,0.061306532663316586,0.023115577889447236,0.11256281407035176,0.06030150753768844,0.06532663316582915,0.09246231155778895,0.024120603015075376,0.0763819095477387,0.0964824120603015,0.0763819095477387,0.06030150753768844,0.011055276381909548
28.24	0.9459697220252843	0.008040201005025126,0.05728643216080402,0.06733668341708543,0.09447236180904522,0.06331658291457286,0.02512562814070352,0.11055276381909548,0.06331658291457286,0.05728643216080402,0.10452261306532663,0.021105527638190954,0.07939698492462312,0.09849246231155778,0.07537688442211055,0.06331658291457286,0.011055276381909548
28.24	0.9518763898091741	0.010050251256281407,0.07035175879396985,0.0763819095477387,0.08944723618090453,0.0743718592964824,0.02512562814070352,0.10050251256281408,0.061306532663316586,0.07035175879396985,0.09547738693467336,0.023115577889447236,0.07236180904522613,0.09045226130653267,0.07035175879396985,0.061306532663316586,0.009045226130653266
28.24	0.9493409096934722	0.008040201005025126,0.061306532663316586,0.08844221105527639,0.0864321608040201,0.08542713567839195,0.033165829145728645,0.09949748743718594,0.053266331658291456,0.061306532663316586,0.11256281407035176,0.031155778894472363,0.06633165829145729,0.08844221105527639,0.06432160804020101,0.053266331658291456,0.007035175879396985
28.24	0.9528193362873627	0.01507537688442211,0.06030150753768844,0.08040201005025126,0.09045226130653267,0.07939698492462312,0.036180904522613064,0.09748743718592964,0.05628140703517588,0.06030150753768844,0.11155778894472362,0.035175879396984924,0.06331658291457286,0.09246231155778895,0.062311557788944726,0.05628140703517588,0.003015075376884422
28.24	0.9482835504967843	0.008040201005025126,0.06934673366834171,0.06834170854271357,0.10050251256281408,0.06834170854271357,0.020100502512562814,0.08944723618090453,0.0743718592964824,0.06934673366834171,0.09949748743718594,0.020100502512562814,0.062311557788944726,0.10050251256281408,0.062311557788944726,0.0743718592964824,0.01306532663316583
28.24	0.9603374350990707	0.009045226130653266,0.05226130653266332,0.0763819095477387,0.0814070351758794,0.0763819095477387,0.03819095477386935,0.10251256281407035,0.05728643216080402,0.05226130653266332,0.10552763819095477,0.03819095477386935,0.07839195979899498,0.0814070351758794,0.07839195979899498,0.05728643216080402,0.01507537688442211
28.24	0.9486555443661137	0.016080402010050253,0.06934673366834171,0.06733668341708543,0.0964824120603015,0.06030150753768844,0.02613065326633166,0.08844221105527639,0.07738693467336684,0.06934673366834171,0.09447236180904522,0.019095477386934675,0.06834170854271357,0.10452261306532663,0.061306532663316586,0.07738693467336684,0.004020100502512563
28.24	0.95963530653716	0.016080402010050253,0.06934673366834171,0.07035175879396985,0.0914572864321608,0.061306532663316586,0.032160804020100506,0.09447236180904522,0.06733668341708543,0.06934673366834171,0.09346733668341708,0.023115577889447236,0.07035175879396985,0.10050251256281408,0.061306532663316586,0.06733668341708543,0.012060301507537688
28.24	0.9588933391319006	0.01306532663316583,0.05226130653266332,0.07738693467336684,0.07839195979899498,0.0743718592964824,0.04723618090452261,0.10753768844221105,0.05125628140703518,0.05226130653266332,0.1035175879396985,0.044221105527638194,0.08040201005025126,0.0814070351758794,0.07839195979899498,0.05125628140703518,0.007035175879396985
28.24	0.9469256118857068	0.008040201005025126,0.06733668341708543,0.06532663316582915,0.0964824120603015,0.06834170854271357,0.019095477386934675,0.10452261306532663,0.06633165829145729,0.06733668341708543,0.09447236180904522,0.022110552763819097,0.0743718592964824,0.09346733668341708,0.07738693467336684,0.06532663316582915,0.010050251256281407
28.24	0.9500628106001532	0.010050251256281407,0.05125628140703518,0.07035175879396985,0.0964824120603015,0.06934673366834171,0.02613065326633166,0.10150753768844221,0.06532663316582915,0.05125628140703518,0.11557788944723618,0.02512562814070352,0.07035175879396985,0.09849246231155778,0.06934673366834171,0.06532663316582915,0.01407035175879397
28.24	0.9536853278140887	0.01306532663316583,0.05829145728643216,0.06331658291457286,0.0964824120603015,0.07537688442211055,0.018090452261306532,0.10854271356783919,0.06030150753768844,0.0592964824120603,0.10150753768844221,0.03015075376884422,0.07135678391959799,0.08542713567839195,0.08341708542713568,0.06030150753768844,0.01507537688442211
28.24	0.9637401903090083	0.01407035175879397,0.06030150753768844,0.08442211055276382,0.08341708542713568,0.08341708542713568,0.032160804020100506,0.09045226130653267,0.0592964824120603,0.06030150753768844,0.10753768844221105,0.031155778894472363,0.06633165829145729,0.08442211055276382,0.06532663316582915,0.0592964824120603,0.018090452261306532
28.24	0.9543785847416548	0.016080402010050253,0.06331658291457286,0.062311557788944726,0.0964824120603015,0.06532663316582915,0.02814070351758794,0.11658291457286432,0.054271356783919596,0.062311557788944726,0.09547738693467336,0.031155778894472363,0.0743718592964824,0.09246231155778895,0.07839195979899498,0.054271356783919596,0.009045226130653266
