a	Permutation_Entropy	Pattern_Probabilities
0.2025	0.730450114584093	0.0,0.14271356783919598,0.0020100502512562816,0.18693467336683417,0.0020100502512562816,0.0,0.07939698492462312,0.10653266331658291,0.14271356783919598,0.04522613065326633,0.0,0.0,0.18592964824120603,0.0,0.10653266331658291,0.0
0.2025	0.7378191057434746	0.0,0.13668341708542714,0.004020100502512563,0.18391959798994975,0.004020100502512563,0.0,0.06834170854271357,0.11557788944723618,0.13668341708542714,0.05125628140703518,0.0,0.0,0.18391959798994975,0.0,0.11557788944723618,0.0
0.2025	0.7262321403418959	0.0,0.13266331658291458,0.0,0.18894472361809045,0.0,0.0,0.0743718592964824,0.11457286432160804,0.13266331658291458,0.05527638190954774,0.0,0.0,0.1879396984924623,0.0,0.1135678391959799,0.0
0.2025	0.7296010450428476	0.0,0.135678391959799,0.0010050251256281408,0.18693467336683417,0.0010050251256281408,0.0,0.07336683417085427,0.1135678391959799,0.135678391959799,0.05226130653266332,0.0,0.0,0.18693467336683417,0.0,0.1135678391959799,0.0
0.2025	0.7405049376104997	0.0,0.13668341708542714,0.005025125628140704,0.1829145728643216,0.005025125628140704,0.0,0.06834170854271357,0.11557788944723618,0.13668341708542714,0.05125628140703518,0.0,0.0,0.1829145728643216,0.0,0.11557788944723618,0.0
0.2025	0.7367840754423424	0.0,0.12763819095477386,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.062311557788944726,0.12261306532663317,0.12763819095477386,0.06030150753768844,0.0,0.0,0.1849246231155779,0.0,0.12361809045226131,0.0
0.2025	0.7367342701092481	0.0,0.12864321608040202,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.06331658291457286,0.12261306532663317,0.12864321608040202,0.0592964824120603,0.0,0.0,0.1849246231155779,0.0,0.12160804020100502,0.0
0.2025	0.734490701164694	0.0,0.1407035175879397,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.07537688442211055,0.10954773869346733,0.13969849246231156,0.04824120603015075,0.0,0.0,0.1849246231155779,0.0,0.10954773869346733,0.0
0.2025	0.7385287375604415	0.0,0.135678391959799,0.004020100502512563,0.1849246231155779,0.004020100502512563,0.0,0.06934673366834171,0.11457286432160804,0.135678391959799,0.053266331658291456,0.0,0.0,0.18391959798994975,0.0,0.11457286432160804,0.0
0.2025	0.7308538199186084	0.0,0.14170854271356784,0.0020100502512562816,0.18693467336683417,0.0020100502512562816,0.0,0.07839195979899498,0.10753768844221105,0.14170854271356784,0.04623115577889447,0.0,0.0,0.18592964824120603,0.0,0.10753768844221105,0.0
0.2025	0.7362995018817674	0.0,0.13266331658291458,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.06733668341708543,0.11758793969849246,0.13266331658291458,0.05527638190954774,0.0,0.0,0.1849246231155779,0.0,0.1185929648241206,0.0
0.2025	0.7224107089065686	0.0,0.14371859296482412,0.0,0.18894472361809045,0.0,0.0,0.08542713567839195,0.1035175879396985,0.14371859296482412,0.044221105527638194,0.0,0.0,0.1879396984924623,0.0,0.10251256281407035,0.0
0.2025	0.7309329688459603	0.0,0.14170854271356784,0.0020100502512562816,0.18592964824120603,0.0020100502512562816,0.0,0.07738693467336684,0.10854271356783919,0.14170854271356784,0.04623115577889447,0.0,0.0,0.18592964824120603,0.0,0.10854271356783919,0.0
0.2025	0.7317791061057689	0.0,0.13969849246231156,0.0020100502512562816,0.18592964824120603,0.0020100502512562816,0.0,0.0763819095477387,0.11055276381909548,0.13969849246231156,0.04824120603015075,0.0,0.0,0.18592964824120603,0.0,0.10954773869346733,0.0
0.2025	0.73747222024166	0.0,0.13869346733668342,0.004020100502512563,0.1849246231155779,0.004020100502512563,0.0,0.07236180904522613,0.11256281407035176,0.13869346733668342,0.04924623115577889,0.0,0.0,0.18391959798994975,0.0,0.11155778894472362,0.0
0.2025	0.742557212229968	0.0,0.13467336683417086,0.006030150753768844,0.18190954773869347,0.006030150753768844,0.0,0.062311557788944726,0.11959798994974874,0.13467336683417086,0.053266331658291456,0.0,0.0,0.18190954773869347,0.0,0.11959798994974874,0.0
0.2025	0.7355440706629617	0.0,0.135678391959799,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.06934673366834171,0.11557788944723618,0.135678391959799,0.05226130653266332,0.0,0.0,0.1849246231155779,0.0,0.11557788944723618,0.0
0.2025	0.7296476149539232	0.0,0.13668341708542714,0.0010050251256281408,0.1879396984924623,0.0010050251256281408,0.0,0.07537688442211055,0.11155778894472362,0.135678391959799,0.05226130653266332,0.0,0.0,0.18693467336683417,0.0,0.11155778894472362,0.0
0.2025	0.7272323626367614	0.0,0.14271356783919598,0.0010050251256281408,0.1879396984924623,0.0010050251256281408,0.0,0.08241206030150754,0.10552763819095477,0.14271356783919598,0.04522613065326633,0.0,0.0,0.18693467336683417,0.0,0.10452261306532663,0.0
0.2025	0.7365640506714178	0.0,0.1306532663316583,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.06532663316582915,0.12060301507537688,0.1306532663316583,0.05728643216080402,0.0,0.0,0.1849246231155779,0.0,0.11959798994974874,0.0
0.2025	0.7344388699637695	0.0,0.13969849246231156,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.0743718592964824,0.11055276381909548,0.13969849246231156,0.04824120603015075,0.0,0.0,0.1849246231155779,0.0,0.11055276381909548,0.0
0.2025	0.7382613637609514	0.0,0.13467336683417086,0.004020100502512563,0.1849246231155779,0.004020100502512563,0.0,0.06733668341708543,0.11658291457286432,0.13467336683417086,0.053266331658291456,0.0,0.0,0.18391959798994975,0.0,0.11658291457286432,0.0
0.2025	0.7375848303069059	0.0,0.13768844221105528,0.004020100502512563,0.1849246231155779,0.004020100502512563,0.0,0.07035175879396985,0.1135678391959799,0.13768844221105528,0.05025125628140704,0.0,0.0,0.18391959798994975,0.0,0.1135678391959799,0.0
0.2025	0.737311156049053	0.0,0.13869346733668342,0.004020100502512563,0.1849246231155779,0.004020100502512563,0.0,0.07135678391959799,0.11256281407035176,0.13869346733668342,0.04924623115577889,0.0,0.0,0.18391959798994975,0.0,0.11256281407035176,0.0
0.2025	0.7353098317809591	0.0,0.13668341708542714,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.07135678391959799,0.1135678391959799,0.13668341708542714,0.05125628140703518,0.0,0.0,0.1849246231155779,0.0,0.1135678391959799,0.0
0.2025	0.7293584137626764	0.0,0.13768844221105528,0.0010050251256281408,0.1879396984924623,0.0010050251256281408,0.0,0.0763819095477387,0.11055276381909548,0.13668341708542714,0.05125628140703518,0.0,0.0,0.18693467336683417,0.0,0.11055276381909548,0.0
0.2025	0.7366910128106233	0.0,0.1407035175879397,0.004020100502512563,0.1849246231155779,0.004020100502512563,0.0,0.07336683417085427,0.11055276381909548,0.1407035175879397,0.04723618090452261,0.0,0.0,0.18391959798994975,0.0,0.11055276381909548,0.0
0.2025	0.7341001762255077	0.0,0.1407035175879397,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.07537688442211055,0.10954773869346733,0.1407035175879397,0.04723618090452261,0.0,0.0,0.1849246231155779,0.0,0.10954773869346733,0.0
0.2025	0.7349358641594408	0.0,0.13869346733668342,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.07336683417085427,0.11256281407035176,0.13869346733668342,0.04924623115577889,0.0,0.0,0.1849246231155779,0.0,0.11155778894472362,0.0
0.2025	0.7377542366344888	0.0,0.13768844221105528,0.004020100502512563,0.1849246231155779,0.004020100502512563,0.0,0.07135678391959799,0.1135678391959799,0.13768844221105528,0.05025125628140704,0.0,0.0,0.18391959798994975,0.0,0.11256281407035176,0.0
0.2025	0.7333495318447244	0.0,0.14271356783919598,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.07738693467336684,0.10753768844221105,0.14271356783919598,0.04522613065326633,0.0,0.0,0.1849246231155779,0.0,0.10753768844221105,0.0
0.2025	0.7359008371254004	0.0,0.135678391959799,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.07135678391959799,0.11457286432160804,0.135678391959799,0.05226130653266332,0.0,0.0,0.1849246231155779,0.0,0.11457286432160804,0.0
0.2025	0.7390607294694506	0.0,0.12964824120603016,0.004020100502512563,0.18391959798994975,0.004020100502512563,0.0,0.062311557788944726,0.12160804020100502,0.12964824120603016,0.05829145728643216,0.0,0.0,0.18391959798994975,0.0,0.12261306532663317,0.0
0.2025	0.7368150612170664	0.0,0.12864321608040202,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.06432160804020101,0.12060301507537688,0.12864321608040202,0.0592964824120603,0.0,0.0,0.18592964824120603,0.0,0.12160804020100502,0.0
0.2025	0.7384170440351596	0.0,0.135678391959799,0.004020100502512563,0.18391959798994975,0.004020100502512563,0.0,0.06934673366834171,0.11557788944723618,0.135678391959799,0.05226130653266332,0.0,0.0,0.18391959798994975,0.0,0.11557788944723618,0.0
0.2025	0.7287970607665224	0.0,0.13869346733668342,0.0010050251256281408,0.1879396984924623,0.0010050251256281408,0.0,0.07839195979899498,0.10954773869346733,0.13869346733668342,0.04924623115577889,0.0,0.0,0.18693467336683417,0.0,0.10854271356783919,0.0
0.2025	0.733689888252781	0.0,0.12562814070351758,0.0020100502512562816,0.18592964824120603,0.0020100502512562816,0.0,0.06030150753768844,0.12462311557788945,0.12562814070351758,0.062311557788944726,0.0,0.0,0.18592964824120603,0.0,0.12562814070351758,0.0
0.2025	0.733833292435932	0.0,0.14271356783919598,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.0763819095477387,0.10854271356783919,0.14170854271356784,0.04623115577889447,0.0,0.0,0.1849246231155779,0.0,0.10854271356783919,0.0
0.2025	0.7277650149364261	0.0,0.14170854271356784,0.0010050251256281408,0.18693467336683417,0.0010050251256281408,0.0,0.08040201005025126,0.10753768844221105,0.14170854271356784,0.04623115577889447,0.0,0.0,0.18693467336683417,0.0,0.10653266331658291,0.0
0.2025	0.7368814319151962	0.0,0.14170854271356784,0.004020100502512563,0.1849246231155779,0.004020100502512563,0.0,0.07537688442211055,0.10954773869346733,0.1407035175879397,0.04723618090452261,0.0,0.0,0.18391959798994975,0.0,0.10854271356783919,0.0
0.2025	0.7351236461612665	0.0,0.13869346733668342,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.07336683417085427,0.11155778894472362,0.13768844221105528,0.05025125628140704,0.0,0.0,0.1849246231155779,0.0,0.11155778894472362,0.0
0.2025	0.7355440706629617	0.0,0.135678391959799,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.06934673366834171,0.11557788944723618,0.135678391959799,0.05226130653266332,0.0,0.0,0.1849246231155779,0.0,0.11557788944723618,0.0
0.20500000000000002	0.7389175886472227	0.0,0.13366834170854272,0.004020100502512563,0.18391959798994975,0.004020100502512563,0.0,0.06733668341708543,0.11658291457286432,0.13366834170854272,0.05527638190954774,0.0,0.0,0.1849246231155779,0.0,0.11658291457286432,0.0
0.20500000000000002	0.7362871283276561	0.0,0.13366834170854272,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.06834170854271357,0.11658291457286432,0.13266331658291458,0.05527638190954774,0.0,0.0,0.1849246231155779,0.0,0.11658291457286432,0.0
0.20500000000000002	0.7434148114848859	0.0,0.13266331658291458,0.006030150753768844,0.1829145728643216,0.006030150753768844,0.0,0.062311557788944726,0.11959798994974874,0.13266331658291458,0.05628140703517588,0.0,0.0,0.18190954773869347,0.0,0.11959798994974874,0.0
0.20500000000000002	0.7368836447506713	0.0,0.1306532663316583,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.06633165829145729,0.1185929648241206,0.1306532663316583,0.05829145728643216,0.0,0.0,0.1849246231155779,0.0,0.1185929648241206,0.0
0.20500000000000002	0.7398417607008804	0.0,0.13969849246231156,0.005025125628140704,0.18391959798994975,0.005025125628140704,0.0,0.07135678391959799,0.11155778894472362,0.13969849246231156,0.04924623115577889,0.0,0.0,0.1829145728643216,0.0,0.11155778894472362,0.0
